label,text
alarm.fill,Aufwachen!
alarm.fill,Uyan
alarm.fill,"Uyan ve Kahve yap! Guzel birgun olacak, ne olursa olsun!"
alarm.fill,Uyan!
alarm.fill,Uyanış
alarm.fill,Wake Up!
alarm.fill,Wake up!
alarm.fill,günaydın!🥱
alarm.fill,uyan
alarm.fill,Öğle Arası
archivebox.fill,Get ready
archivebox.fill,Kahve isini arastir
archivebox.fill,LAUNDRY LOAD
archivebox.fill,YUMUŞATICI EKLE
archivebox.fill,work up
arrow.3.trianglepath,Geometri
arrow.3.trianglepath,KKKA
at,Dördüncü etütü yap.
at,E-postaları yanıtla
at,Hdpe boru firmaları görüş
at,Mailleri Cevapla.
at,Pantolonu terziye ver
at,Üçüncü etütü yap
atom,30 soru paragraf
atom,Biyoloji çalış
atom,Ders çalış coğrafya
atom,Fen sınavına çalış
atom,Fizik dalgalar
atom,Fizik palme
atom,Fonksiyon ayt
atom,Kimya
atom,Metalografi [recast]
atom,Sakinleşme Meditasyonu
atom,Sayılar
atom,Science sinan k test 3 page 157
atom,Tyt Kimya
atom,fizik dersi
bag.fill,Alışveriş
bag.fill,Armada
bandage.fill,Bel bandajını değiştir
battery.25,Break
battery.25,Dinlenme
bed.double.fill,Lavabo + odanı topla
bell.fill,ATM
bitcoinsign.circle.fill,Trade
bolt.car.fill,Dinlen
bolt.fill,1.Ders (2/B Boş Ders)
bolt.fill,Tenefüs
book.fill,1 Seans Fizik 1 Seans Kimya Çalışması
book.fill,10 soru İngilizce çöz
book.fill,3.Saat 2/B
book.fill,30 sf. Kitap Oku
book.fill,30 soru Paragraf çöz
book.fill,4. Saat 1/C
book.fill,4/B 1. Ders
book.fill,40 paragraf çöz
book.fill,Almanca
book.fill,Ayt kimya
book.fill,Ayt kimya tekrar sindir
book.fill,Burda da kito oko
book.fill,Coğrafya konu anlatımı çalışması
book.fill,Deep Work
book.fill,Ders
book.fill,Ders 1. Periyot
book.fill,Ders çalış
book.fill,Ders 📚
book.fill,Ders; Doğa ve İnsan konu tekrar+40 soru
book.fill,Günlük yaz
book.fill,Ilk etütü yap
book.fill,Kimya
book.fill,Kitap
book.fill,Kitap Oku
book.fill,Kitap Okuma
book.fill,Kitap oko
book.fill,Kitap oku
book.fill,Kitap oku “ BULANTI”
book.fill,Kitap okuma
book.fill,Kuran-ı Kerim oku
book.fill,KÜTÜPHANE
book.fill,Kızımla Ekonomi Sohbetleri
book.fill,Leviathan oku ve notlar al
book.fill,Limon kütüphanesini oku ve bitir
book.fill,Okula git
book.fill,Paragraf
book.fill,Paragraf çöz
book.fill,Periyodontoloji çalış
book.fill,Sosyal ödevleri ve proje
book.fill,Start the Learnings
book.fill,Study Tasarım Akımları
book.fill,TYT Türkçe çalış
book.fill,Tarih konu anlatımı çalışması
book.fill,Tb3
book.fill,Tekrar
book.fill,edebiyat sinavi
book.fill,oc2 ilk ders tekrar
book.fill,Ödevlerini bitir
book.fill,İngilizce çalış
bookmark.fill,Ders Etütü
bookmark.fill,Matematik-Silsilə test toplusu
briefcase.fill,School
briefcase.fill,Vakıfta kına
briefcase.fill,İş
briefcase.fill,İşe git
bubble.left.fill,İspanyolca
burn,BRUSELLOZ
burn,Youtube
calendar,"Kredi ödemesi yarın 1810,44 ₺"
camera.fill,Asus laptop fotoğraflarını çek
car.fill,Trene yetiş
car.fill,Yola çık
cart.fill,Alışveriş
cart.fill,MARKET
chart.bar.fill,Geometri
chart.bar.fill,K4 English
chart.bar.fill,PRICE ACTION
chevron.left.slash.chevron.right,Code
chevron.left.slash.chevron.right,Consul
chevron.left.slash.chevron.right,TPWD
cloud.bolt.fill,Uyu
cloud.fill,Kendine zaman ayır
comb.fill,HAZIRLANMA
comb.fill,Kişisel Bakım
comb.fill,Kuaför
comb.fill,Kıyafetler
comb.fill,Saçların Taranması
custom.ball,Göztepe-Beşiktaş
custom.cat,Prep yourself and your bag for Catticus
custom.cat,Spor Yap
custom.cat,Tatlışa mama
custom.cat,Yoga nefes
custom.chemistry,AYT Kimya
custom.chemistry,Ders Çalış
custom.chemistry,Kimya
custom.chemistry,Kimya (test)
custom.chemistry,Kimya palme
custom.chemistry,Kimya Çalış
custom.chemistry,Xrdx
custom.chemistry,einsicht proteine
custom.cooking,Akşam yemeği
custom.cooking,Breakfast
custom.cooking,Kahvaltı
custom.cooking,Lunch
custom.cooking,Temizlik
custom.cooking,Yemek
custom.cooking,Yemek yap
custom.cooking,Yulaf yap
custom.cooking,make salat
custom.dog,Adel Tuvalet
custom.dog,TYT Biyoloji çalış
custom.dog,Tyna’nın troit hapı
custom.dog,kemikler
custom.dumbbell,Egzersiz Yap
custom.dumbbell,Egzersiz yap
custom.dumbbell,Esne!!
custom.dumbbell,Gym
custom.dumbbell,Karate
custom.dumbbell,SPOR
custom.dumbbell,Spor
custom.dumbbell,Spor Yap
custom.dumbbell,Spor Yap!
custom.dumbbell,Spor salonu
custom.dumbbell,Spor yap
custom.dumbbell,Spora git
custom.dumbbell,Sırt egzersiz
custom.dumbbell,Yürüyüş
custom.dumbbell,halin varsa spor/ lingua
custom.dumbbell,İdman
custom.hairdryer,Feur
custom.hairdryer,Saçlarını yap
custom.language,Arapça kelime
custom.language,"Barış hocayı, dedemi ara"
custom.language,Dalyan özel ders
custom.language,Dualingo
custom.language,EN B2.1
custom.language,ENGLISH
custom.language,English
