label,text
airplane,ASHLEY VACATION
airplane,Airport
airplane,Airport 
airplane,Apply to ABA & Valley Consulting 👼🏼
airplane,Arrive at the hotel
airplane,Before book flight details 
airplane,Book flight and hotel
airplane,Book flights to Svalbard
airplane,Book round trip to BVT
airplane,Buy flying tickets PL <-> TFS
airplane,Check For Flights
airplane,Cheer practice
airplane,Crucero Royal Caribbean 
airplane,Disneyland trip
airplane,EMAIL SPIRIT AIRLINES CAUSE THEY SUCK ASS
airplane,FA FLICA Opens
airplane,Flight home 
airplane,Flight to FL
airplane,Flight to Lagos
airplane,"Flight to Santo Domingo, DR"
airplane,Flight to Singapore
airplane,Flight to Tpa
airplane,Fly to LA
airplane,Go to airport
airplane,Gym prep
airplane,HR paperwork @airport
airplane,Halim Perdanakusuma
airplane,Holiday!
airplane,InfoComm 2022 Las Vegas
airplane,LAS ✈️ SFO
airplane,LSU 
airplane,Leave!
airplane,Llegan Pa y Ma
airplane,Mardi Gras Break
airplane,Meet my friends 🥳
airplane,Melissa Jackson: ATL-SLC for EPIC Experience     Flight# 390     CONF# HLNXG9
airplane,Miami
airplane,Orlando Trip
airplane,Pack John Up
airplane,Personal: Rebook SG Flight
airplane,Phillip Island 
airplane,Pick up Nat & B from Airport
airplane,Pick up mom
airplane,Resume + LinkedIn
airplane,Seattle for Work
airplane,Spring Break
airplane,Spring Recess
airplane,Supply chain analysis
airplane,TRAINING
airplane,Tenerife
airplane,Travel and Tourism
airplane,Update Iceland trip
airplane,Vacation prep
airplane,Wziąć urlop do PL 
airplane,YYZ to IAD
airplane,disney planning
airplane,ortisei  
airplane,walk to mac + change
alarm.fill, alarm 
alarm.fill,10:30 wakeup 
alarm.fill,7 wakeup 
alarm.fill,7-9 wakeup 
alarm.fill,8am awake 
alarm.fill,AWAKE
alarm.fill,Acordar
alarm.fill,Alarm
alarm.fill,Anise Work
alarm.fill,Asar 
alarm.fill,Aufwachen!
alarm.fill,Bangun
alarm.fill,Bonjour !
alarm.fill,Break
alarm.fill,Budíček
alarm.fill,Camri’s shower 11:00 Wake up! Study water
alarm.fill,"Check New Hours with work and remind I need the 14th off. Check bonus is correct and if it is, check super"
alarm.fill,Check messages 📱
alarm.fill,Check stuff with work
alarm.fill,Check weekly time detail 
alarm.fill,Check work schedule
alarm.fill,Despierta!
alarm.fill,Do makeup 
alarm.fill,Eat lunch 
alarm.fill,Emails & Catching Up
alarm.fill,Enjoy Your Breakfast😻😋
alarm.fill,Exam 1
alarm.fill,Fajr
alarm.fill,Focused Work
alarm.fill,GOOD MORNING🌞
alarm.fill,Get Elijah dressed for school
alarm.fill,Get out of bed
alarm.fill,Get ready
alarm.fill,Get ready for school
alarm.fill,Get ready to leave
alarm.fill,Get up and get ready for fitness clothes  
alarm.fill,Get up!
alarm.fill,Go to sleep💗
alarm.fill,Good Morning :)
alarm.fill,Good Morning 🌷
alarm.fill,Good morning!
alarm.fill,Happy Rising!
alarm.fill,Homework Break
alarm.fill,Hora de Acordar!
alarm.fill,LearningZen Work Course
alarm.fill,Life Organization: print out schedules
alarm.fill,Magrib 
alarm.fill,Make Class Alarms
alarm.fill,Meeting Dr. Grieb
alarm.fill,Morning
alarm.fill,Morning Girl
alarm.fill,Morning Routine
alarm.fill,Morning Routine 
alarm.fill,Morning Run/Workout 
alarm.fill,Morning prayer
alarm.fill,Morning routine
alarm.fill,Morning routine 
alarm.fill,Morning routine ☀️
alarm.fill,Morning!
alarm.fill,"Morning! Open blinds, fill water bottle and go get fresh air! Don’t go on your phone yet"
alarm.fill,Mornin’ THIS IS THE DAY THE LORD HAS MADE REJOICE & BE GALD IN IT🕺🏽
alarm.fill,PCR
alarm.fill,Pobudka!
alarm.fill,Pray asr
alarm.fill,Pre-school for Matthew and James
alarm.fill,RISE AND SHINE 🌼
alarm.fill,Remind Reyna to get N95
alarm.fill,Rise & Shine!
alarm.fill,Rise and Shine
alarm.fill,Rise and shine 
alarm.fill,Rise n Shine!
alarm.fill,Road to 200K
alarm.fill,Réveille-toi!
alarm.fill,Semester 1 end
alarm.fill,Set Sa-Su Work Goals
alarm.fill,Set appt slots in SP
alarm.fill,Shalat Tahajjud
alarm.fill,Shower + Breakfast
alarm.fill,Shower + get ready
alarm.fill,Shower and get ready for day
alarm.fill,"Shower, fulfill hygiene needs, get dressed and prepare for breakfast"
alarm.fill,"Sophia and school,"
alarm.fill,Start Work
alarm.fill,Sveglia!
alarm.fill,Take meds! 
alarm.fill,The morning miracle
alarm.fill,Thức dậy!
alarm.fill,Time for breakfast
alarm.fill,Trezirea!
alarm.fill,Våkne!
alarm.fill,WAKE UP
alarm.fill,WAKE UP!
alarm.fill,WAKE UP.
alarm.fill,Wake + Breakfast
alarm.fill,Wake Sophia up
alarm.fill,Wake Up
alarm.fill,Wake Up ! 
alarm.fill,Wake Up & Get Ready!
alarm.fill,Wake Up + Breakfast
alarm.fill,Wake Up!
alarm.fill,"Wake Up, Bitch!"
alarm.fill,"Wake Up, Routine, Feed Henri"
alarm.fill,Wake up
alarm.fill,Wake up 
alarm.fill,Wake up ! 
alarm.fill,Wake up & Gratitude 
alarm.fill,Wake up & Pray 
alarm.fill,Wake up & Prep
alarm.fill,Wake up & breakfast
alarm.fill,Wake up & pray!
alarm.fill,Wake up & prepare
alarm.fill,Wake up + 5 min meditation 
alarm.fill,Wake up + Breakfast
alarm.fill,Wake up + Hygiene + Morning Shower
alarm.fill,Wake up 4 / 5 / 6
alarm.fill,Wake up @ same time
alarm.fill,Wake up Say your Daly Affirmation 
alarm.fill,Wake up Stretch!
alarm.fill,Wake up Tue-Fri
alarm.fill,Wake up and Get Ready
alarm.fill,Wake up and Get ready 
alarm.fill,Wake up and breakfast
alarm.fill,Wake up and breakfast 
alarm.fill,Wake up and do “other work”
alarm.fill,Wake up and get dressed! 
alarm.fill,Wake up and get ready
alarm.fill,Wake up and get ready for the gym/ day
alarm.fill,Wake up and make bed
alarm.fill,Wake up and morning thoughts
alarm.fill,Wake up beautiful 🤍
alarm.fill,Wake up early
alarm.fill,Wake up for work!
alarm.fill,Wake up lovee ✨
alarm.fill,Wake up mam
alarm.fill,Wake up 🌻
alarm.fill,Wake up!
alarm.fill,Wake up! 
alarm.fill,Wake up! & Pray
alarm.fill,Wake up! (8hrs)
alarm.fill,Wake up! (Happy birthday Mason)
alarm.fill,Wake up! (Weekdays)
alarm.fill,Wake up! And pray fajr and brush and change
alarm.fill,Wake up! Check Daily Mission
alarm.fill,Wake up! Drink lemon 🍋 water 
alarm.fill,Wake up! Get ready
alarm.fill,Wake up! Get up 445 
alarm.fill,Wake up! Off day
alarm.fill,Wake up! On phone 
alarm.fill,Wake up! Plan 
alarm.fill,Wake up! Study water 
alarm.fill,Wake up! Subuh
alarm.fill,Wake up! Today will be great 
